# timestamp tx ty tz qx qy qz qw
1.716292645848601818e+09 -7.234062671661376953e+00 -6.212147712707520419e+00 1.658674478530883789e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292645898813009e+09 -7.309347152709960938e+00 -6.250715732574462891e+00 1.644779324531555176e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292645948846340e+09 -7.353921413421630859e+00 -6.262017250061035156e+00 1.630245327949523926e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292646049430847e+09 -7.483561992645263672e+00 -6.315417289733886719e+00 1.601048111915588379e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292646099723339e+09 -7.533126354217529297e+00 -6.326699733734130859e+00 1.585461854934692383e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292646149925709e+09 -7.584139823913574219e+00 -6.337687015533447266e+00 1.569425582885742188e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292646200399399e+09 -7.636418819427490234e+00 -6.350142002105712891e+00 1.553676247596740723e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292646250224352e+09 -7.687044620513916016e+00 -6.361324787139892578e+00 1.538094043731689675e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292646350655556e+09 -7.824328899383544922e+00 -6.416633129119873047e+00 1.509302854537964089e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292646400869608e+09 -7.874497890472412109e+00 -6.428007602691650391e+00 1.495090007781982422e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292646450922251e+09 -7.925199508666992188e+00 -6.440197944641113281e+00 1.481503367424011230e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292646551408052e+09 -8.058974266052246094e+00 -6.495816707611083984e+00 1.457520961761474609e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292646601746798e+09 -8.107845306396484375e+00 -6.508400440216064453e+00 1.445711493492126465e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292646651905537e+09 -8.156321525573730469e+00 -6.521400451660156250e+00 1.435178756713867188e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292646752118826e+09 -8.283292770385742188e+00 -6.572102546691895419e+00 1.416730523109436035e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292646802433252e+09 -8.328892707824707031e+00 -6.582095623016357422e+00 1.409155607223510742e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292646852597237e+09 -8.376479148864746094e+00 -6.594357490539550781e+00 1.402774572372436301e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292646902860880e+09 -8.420908927917480469e+00 -6.605732440948486328e+00 1.397567272186279297e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292646952862978e+09 -8.464965820312500000e+00 -6.619175910949707031e+00 1.394106507301330566e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292647053374052e+09 -8.576752662658691406e+00 -6.670936584472656250e+00 1.391296029090881126e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292647103617907e+09 -8.616813659667968750e+00 -6.686205863952636719e+00 1.391594886779785156e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292647153746128e+09 -8.654444694519042969e+00 -6.699700832366943359e+00 1.392684817314147949e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292647555282593e+09 -8.981771469116210938e+00 -6.853520393371582031e+00 1.436940908432006836e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292647655695915e+09 -9.038720130920410156e+00 -6.889385223388671875e+00 1.446276068687438965e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
